response_mode,id,url,flight_proven,serial_number,is_placeholder,details,successful_landings,attempted_landings,flights,last_launch_date,first_launch_date,fastest_turnaround,status.id,status.name,image.id,image.name,image.image_url,image.thumbnail_url,image.credit,image.license.id,image.license.name,image.license.priority,image.license.link,image.single_use,image.variants,launcher_config.response_mode,launcher_config.id,launcher_config.url,launcher_config.name,launcher_config.families,launcher_config.full_name,launcher_config.variant,image
detailed,125,https://ll.thespacedevs.com/2.3.0/launchers/125/,True,B1082,False,Falcon 9 Block 5 booster.,23.0,23.0,23.0,2026-07-21T14:49:34Z,2024-01-03T03:44:20Z,P25DT10M,3,active,2632.0,B1082 landing at LZ-4 (USSF-62),https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/b1082_landing_a_image_20251219191159.jpg,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/b1082_landing_a_image_thumbnail_20251219191159.jpeg,USSF SSC,17.0,Department of Defense Image Use Policy,6.0,https://www.dimoc.mil/resources/limitations/,True,[],list,164,https://ll.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5,
detailed,71,https://ll.thespacedevs.com/2.3.0/launchers/71/,True,B1061,False,"Booster which launched Crew-1, Crew-2 and IXPE. Expended for the launch of Hera.",22.0,22.0,23.0,2024-10-07T14:52:11Z,2020-11-16T00:27:17Z,P24DT9H52M36S,2,expended,2465.0,B1061 landing on LZ-4 during Worldview Legion 1-2 launch,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/b1061_landing_o_image_20250912154328.jpeg,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/b1061_landing_o_image_thumbnail_20250912154328.jpeg,SpaceX,1.0,Unknown,9.0,,False,[],list,164,https://ll.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5,
detailed,118,https://ll.thespacedevs.com/2.3.0/launchers/118/,True,B1076,False,Booster first launched on the Dragon CRS-26 mission. Expended during the SPAINSAT-NG II launch.,21.0,21.0,22.0,2025-10-24T01:30:00Z,2022-11-26T19:20:43Z,P21DT2H49M,2,expended,2459.0,B1076 landing on LZ-1 during Worldview Legion 3-4 launch,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/b1076_landing_o_image_20250912152159.jpeg,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/b1076_landing_o_image_thumbnail_20250912152200.jpeg,SpaceX,1.0,Unknown,9.0,,False,[],list,164,https://ll.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5,
detailed,112,https://ll.thespacedevs.com/2.3.0/launchers/112/,True,B1073,False,"Notable missions include SES-22, Hakuto-R and CRS-27. Expended during the SPAINSAT-NG I launch.",20.0,20.0,21.0,2025-01-30T01:34:00Z,2022-05-14T20:40:50Z,P25DT20H44M,2,expended,2461.0,B1073 landing on LZ-1 during Bandwagon-1 launch,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/b1073_landing_o_image_20250912152710.jpeg,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/b1073_landing_o_image_thumbnail_20250912152710.jpeg,SpaceX,1.0,Unknown,9.0,,False,[],list,164,https://ll.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5,
detailed,72,https://ll.thespacedevs.com/2.3.0/launchers/72/,True,B1060,False,Stage Expended for the Galileo L12 mission.,19.0,19.0,20.0,2024-04-28T00:34:00Z,2020-06-30T20:10:46Z,P27DT4H4M54S,2,expended,1623.0,[AUTO] B1060 - image,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/72_image_20230713061744.jpg,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305193323.jpeg,,1.0,Unknown,9.0,,True,[],list,164,https://ll.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5,
detailed,69,https://ll.thespacedevs.com/2.3.0/launchers/69/,True,B1058,False,"Booster first flown during the DEMO-2 mission. Only booster featuring the NASA worm logo.

Written off after toppled by rough seas during transport on 25 December 2023 after safely landing aboard JRTI.",19.0,19.0,19.0,2023-12-23T05:33:00Z,2020-05-30T19:22:45Z,P27DT8H20M31S,4,lost,1621.0,[AUTO] B1058 - image,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/69_image_20200602210857.jpeg,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305193319.jpeg,,1.0,Unknown,9.0,,True,[],list,164,https://ll.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5,
detailed,151,https://ll.thespacedevs.com/2.3.0/launchers/151/,True,B1085,False,Booster used during the Crew-9 and Fram2 mission.,18.0,18.0,18.0,2026-08-11T15:58:26Z,2024-08-20T13:20:00Z,P23DT7H36M10S,3,active,2290.0,B1085 during landing at LZ-1 (Crew-9),https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/b1085_during_la_image_20241217151951.jpg,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/b1085_during_la_image_thumbnail_20241217151951.jpeg,SpaceX,1.0,Unknown,9.0,,True,[],list,164,https://ll.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5,
detailed,153,https://ll.thespacedevs.com/2.3.0/launchers/153/,True,B1088,False,Falcon 9 booster.,18.0,18.0,18.0,2026-08-16T01:50:45Z,2024-11-30T08:10:00Z,P9DT3H38M48S,3,active,2457.0,B1088 landing on LZ-4 during Transporter-12 launch,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/b1088_landing_o_image_20250912151209.jpeg,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/b1088_landing_o_image_thumbnail_20250912151209.jpeg,SpaceX,1.0,Unknown,9.0,,False,[],list,164,https://ll.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5,
detailed,126,https://ll.thespacedevs.com/2.3.0/launchers/126/,True,B1083,False,Booster first flown during the Crew-8 mission.,16.0,16.0,16.0,2025-12-11T22:01:20Z,2024-03-04T03:53:38Z,P23DT24M50S,3,active,1643.0,B1083 at LZ-1 after Crew-8 launch,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/126_image_20240304081131.jpeg,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305193355.jpeg,SpaceX,5.0,CC BY-NC 2.0,1.0,https://creativecommons.org/licenses/by-nc/2.0/,False,[],list,164,https://ll.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5,
detailed,193,https://ll.thespacedevs.com/2.3.0/launchers/193/,True,B1093,False,Falcon 9 booster debuting on Starlink Group 11-11.,16.0,16.0,16.0,2026-08-08T16:35:02Z,2025-04-07T23:06:10Z,P21DT22H7M44S,3,active,2455.0,Falcon 9 on SLC-4E (SDA-T1TL-B),https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/falcon_9_on_slc_image_20250910140450.jpeg,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/falcon_9_on_slc_image_thumbnail_20250910140451.jpeg,SpaceX,1.0,Unknown,9.0,,True,[],list,164,https://ll.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5,
detailed,190,https://ll.thespacedevs.com/2.3.0/launchers/190/,True,B1090,False,Falcon 9 booster.,14.0,14.0,14.0,2026-08-16T01:12:14Z,2024-12-17T22:26:00Z,P22DT15H50M16S,3,active,2353.0,B1090 at LZ-1 (Crew-10),https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/b1090_at_lz-1__image_20250316065021.jpg,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/b1090_at_lz-1__image_thumbnail_20250316065021.jpeg,SpaceX,1.0,Unknown,9.0,,True,[],list,164,https://ll.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5,
detailed,2,https://ll.thespacedevs.com/2.3.0/launchers/2/,True,B1051,False,Stage Expended,13.0,13.0,14.0,2022-11-12T16:06:00Z,2019-03-02T07:49:00Z,P37DT19H32M,2,expended,1614.0,[AUTO] B1051 - image,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/2_image_20200211104751.jpeg,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305193307.jpeg,,1.0,Unknown,9.0,,True,[],list,164,https://ll.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5,
detailed,199,https://ll.thespacedevs.com/2.3.0/launchers/199/,True,B1097,False,Falcon 9 booster.,12.0,12.0,12.0,2026-08-19T04:01:07Z,2025-09-03T03:51:26Z,P14DT3H45M49S,3,active,2631.0,B1097 landing at LZ-4 (Sentinel 6B),https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/b1097_landing_a_image_20251219190818.jpg,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/b1097_landing_a_image_thumbnail_20251219190819.jpeg,NASA Kennedy,4.0,NASA Image and Media Guidelines,0.0,https://www.nasa.gov/nasa-brand-center/images-and-media/,True,[],list,164,https://ll.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5,
detailed,57,https://ll.thespacedevs.com/2.3.0/launchers/57/,True,B1049,False,Stage Expended,10.0,10.0,11.0,2022-11-23T02:57:00Z,2018-09-10T04:45:00Z,P61DT10H36M6S,2,expended,1612.0,[AUTO] B1049 - image,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/57_image_20190226084723.jpeg,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305193305.jpeg,,1.0,Unknown,9.0,,True,[],list,164,https://ll.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5,
detailed,192,https://ll.thespacedevs.com/2.3.0/launchers/192/,True,B1092,False,Falcon 9 booster debuting on Starlink Group 12-13.,10.0,10.0,10.0,2026-02-24T23:04:10Z,2025-02-27T03:34:20Z,P25DT14H13M40S,3,active,2357.0,B1092 landing at LZ-1 (NROL-69),https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/b1092_landing_a_image_20250325084800.jpg,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/b1092_landing_a_image_thumbnail_20250325084801.jpeg,SpaceX,1.0,Unknown,9.0,,True,[],list,164,https://ll.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5,
detailed,239,https://ll.thespacedevs.com/2.3.0/launchers/239/,True,B1100,False,"Falcon 9 booster, with a special “100” logo in lieu of the usual serial number style painted on the booster.",8.0,8.0,8.0,2026-07-25T15:51:55Z,2025-11-23T08:48:00Z,P23DT12H53M36S,3,active,1736.0,Falcon 9 liftoff from LC-39A,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/falcon_9_image_20230807133459.jpeg,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305193628.jpeg,SpaceX,5.0,CC BY-NC 2.0,1.0,https://creativecommons.org/licenses/by-nc/2.0/,False,[],list,164,https://ll.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5,
detailed,194,https://ll.thespacedevs.com/2.3.0/launchers/194/,True,B1094,False,Falcon 9 booster debuting on Starlink Group 12-10.,7.0,7.0,7.0,2026-04-11T11:41:21Z,2025-04-29T02:34:10Z,P37DT9H11M50S,3,active,2456.0,B1094 landing on LZ-1 during Crew-11 launch,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/b1094_landing_o_image_20250912150803.jpeg,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/b1094_landing_o_image_thumbnail_20250912150803.jpeg,SpaceX,1.0,Unknown,9.0,,False,[],list,164,https://ll.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5,
detailed,197,https://ll.thespacedevs.com/2.3.0/launchers/197/,True,B1096,False,Falcon 9 booster.,7.0,7.0,7.0,2026-07-30T07:10:19Z,2025-07-16T06:30:00Z,P28DT15H54M55S,3,active,2630.0,B1096 landing at LZ-2 (NROL-77),https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/b1096_landing_a_image_20251219190526.jpg,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/b1096_landing_a_image_thumbnail_20251219190527.jpeg,SpaceX,1.0,Unknown,9.0,,True,[],list,164,https://ll.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5,
detailed,196,https://ll.thespacedevs.com/2.3.0/launchers/196/,True,B1095,False,Falcon 9 booster debuting on Starlink Group 12-15.,7.0,7.0,7.0,2026-04-21T06:53:25Z,2025-05-21T03:19:10Z,P37DT18H16M15S,3,active,2756.0,GPS III SV10 launch,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/gps_iii_sv10_la_image_20260429163711.jpg,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/gps_iii_sv10_la_image_thumbnail_20260429163711.jpeg,SpaceX,1.0,Unknown,9.0,,True,[],list,164,https://ll.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5,
detailed,68,https://ll.thespacedevs.com/2.3.0/launchers/68/,True,B1059,False,Exploded upon ocean impact a safe distance from OCISLY,5.0,6.0,6.0,2021-02-16T03:59:37Z,2019-12-05T17:29:24Z,P58DT13H59M37S,4,lost,1622.0,[AUTO] B1059 - image,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/68_image_20191207205858.jpg,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305193321.jpeg,,1.0,Unknown,9.0,,True,[],list,164,https://ll.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5,
detailed,56,https://ll.thespacedevs.com/2.3.0/launchers/56/,True,B1048,False,Landing burn not performed after premature engine shutdown during ascent,4.0,5.0,5.0,2020-03-18T12:16:39Z,2018-07-25T11:39:30Z,P74DT14H41M58S,4,lost,1611.0,[AUTO] B1048 - image,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/56_image_20191123114656.jpg,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305193303.jpeg,,1.0,Unknown,9.0,,True,[],list,164,https://ll.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5,
detailed,248,https://ll.thespacedevs.com/2.3.0/launchers/248/,True,B1103,False,Falcon 9 booster.,5.0,5.0,5.0,2026-08-12T04:46:47Z,2026-04-07T02:50:39Z,P26DT8H14M11S,3,active,1736.0,Falcon 9 liftoff from LC-39A,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/falcon_9_image_20230807133459.jpeg,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305193628.jpeg,SpaceX,5.0,CC BY-NC 2.0,1.0,https://creativecommons.org/licenses/by-nc/2.0/,False,[],list,164,https://ll.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5,
